,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,feedback,human,highacc
78,8,10,5,7,11,10,8,9,7,6,7,6,10,12,11,10,True,True,True
79,5,2,4,5,9,8,10,9,7,4,8,10,10,12,10,10,True,True,True
80,9,7,6,11,5,5,3,4,5,6,9,8,7,9,5,7,True,True,True
81,5,5,7,6,12,9,9,12,6,8,10,6,8,11,9,10,True,True,True
82,7,7,3,6,6,8,6,5,5,5,7,7,9,12,8,10,True,False,True
83,6,5,2,5,3,10,6,9,3,8,5,7,5,10,9,8,True,False,True
84,11,11,8,12,7,8,7,6,6,7,11,10,12,13,7,12,True,False,True
85,9,7,6,7,8,10,6,8,5,10,9,7,13,13,9,11,True,False,True
86,5,9,6,10,9,6,8,7,5,5,9,9,12,12,10,12,True,False,True
87,8,9,4,7,12,10,12,13,4,5,6,5,12,13,11,10,True,False,True
88,9,7,4,5,10,12,10,12,7,8,10,7,13,13,10,11,True,False,True
89,8,6,6,7,9,10,10,13,6,6,7,11,9,12,6,10,True,False,True
90,8,7,5,8,9,7,6,5,9,11,12,10,13,12,10,13,True,False,True
91,5,3,3,4,5,7,5,7,3,6,5,5,1,10,6,6,False,True,True
92,9,10,7,5,8,6,5,5,5,9,10,8,11,11,9,12,False,True,True
93,7,5,5,5,8,10,9,10,4,5,8,6,8,11,9,8,False,True,True
94,5,9,8,5,9,8,9,8,8,5,11,8,9,13,9,11,False,True,True
95,10,3,4,6,10,8,9,8,8,7,9,8,8,11,12,10,False,True,True
96,7,2,6,5,9,7,9,6,8,5,7,6,6,11,7,9,False,True,True
97,10,6,5,6,8,6,6,10,5,8,6,7,7,12,9,7,False,True,True
98,6,4,4,6,12,10,8,8,6,6,10,7,12,12,9,10,False,True,True
99,8,8,3,4,12,10,9,12,6,4,5,6,9,13,10,10,False,True,True
100,8,8,6,6,7,8,6,11,4,9,11,7,5,10,7,10,False,True,True
101,8,6,6,7,8,8,9,7,8,7,6,8,11,12,9,10,False,True,True
102,11,9,8,8,11,12,10,10,7,8,10,10,13,13,13,12,False,True,True
103,4,6,7,7,7,6,6,5,6,6,9,6,8,12,8,10,False,True,True
104,7,10,5,6,12,11,9,12,3,4,5,7,10,13,10,11,False,True,True
105,8,10,5,6,12,10,11,9,6,5,3,6,9,11,8,9,False,True,True
106,6,7,4,5,5,7,3,5,6,8,5,8,11,12,11,10,False,True,True
107,11,10,5,9,10,9,10,12,6,9,10,11,8,12,8,9,False,True,True
108,9,11,7,11,10,9,7,11,7,9,12,10,13,13,12,12,False,True,True
109,10,7,4,5,13,12,11,13,6,11,8,7,11,12,11,12,False,True,True
110,6,6,3,7,10,8,10,9,4,7,8,7,10,13,10,11,True,False,False
111,9,9,6,11,8,9,7,5,5,7,10,8,8,12,9,9,True,False,False
112,8,8,6,8,11,8,11,7,6,9,12,11,13,13,12,12,True,False,False
113,10,11,7,7,9,6,6,8,6,9,12,9,13,13,12,9,True,False,False
114,9,9,7,8,9,12,9,11,5,8,7,10,10,12,11,10,True,False,False
115,5,7,4,6,10,8,7,10,6,8,7,7,10,13,10,10,True,False,False
116,9,11,5,9,8,8,7,5,4,11,13,10,12,13,10,12,True,False,False
117,7,7,4,7,8,8,8,6,6,7,9,6,13,13,10,11,True,False,False
118,8,10,6,3,11,9,10,10,9,10,6,10,12,12,12,12,True,False,False
119,7,6,6,7,11,11,10,11,3,3,4,7,9,12,9,9,True,False,False
120,8,5,4,8,10,10,11,10,5,5,5,8,11,13,12,12,True,False,False
121,8,5,5,6,12,10,11,10,7,6,9,6,13,11,12,10,True,False,False
122,9,12,6,8,12,9,11,10,8,9,9,11,13,13,12,13,True,False,False
123,5,4,3,7,7,6,5,5,3,5,6,4,7,12,7,9,True,False,False
124,9,5,5,6,12,11,10,12,8,4,6,9,11,10,11,8,True,False,False
125,7,9,5,8,11,10,11,8,5,7,9,8,8,12,10,11,True,False,False
126,5,5,5,7,10,11,8,12,4,7,6,8,11,10,10,11,True,False,False
127,7,9,3,7,6,5,6,9,7,5,8,9,12,13,10,12,True,False,False
128,9,9,8,8,11,8,12,11,7,10,7,12,11,13,13,12,True,False,False
129,6,8,8,6,8,7,7,7,8,8,7,9,12,12,12,10,True,True,False
130,9,3,2,5,10,9,9,7,5,5,4,7,8,12,8,6,True,True,False
131,7,6,9,5,12,13,11,11,7,6,10,9,9,11,11,10,True,True,False
132,6,7,4,3,6,6,4,7,6,4,8,6,7,10,5,9,True,True,False
133,9,9,6,6,9,8,8,10,7,10,10,12,12,12,11,10,True,True,False
134,9,8,6,6,12,10,10,13,6,9,9,5,12,13,11,10,True,True,False
135,4,5,6,6,11,10,12,13,7,11,8,9,13,13,11,13,True,True,False
136,6,8,4,7,9,6,10,11,4,5,9,7,8,10,8,7,True,True,False
137,10,7,4,6,8,8,7,7,4,6,6,8,12,13,9,11,True,True,False
138,6,8,6,4,7,7,5,5,8,6,5,6,11,13,10,9,True,True,False
139,9,9,7,9,10,9,7,6,8,10,11,11,13,12,11,11,True,True,False
140,11,10,10,12,11,9,9,9,11,12,9,12,13,12,11,13,True,True,False
