,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,feedback,human,highacc
78,6,6,4,6,12,9,9,8,6,10,5,5,9,12,9,11,True,True,True
79,4,4,4,4,8,7,12,9,5,6,3,3,7,11,10,10,True,True,True
80,8,7,7,12,4,3,6,5,4,11,9,12,7,10,4,8,True,True,True
81,7,6,7,6,10,10,10,10,5,7,7,7,7,10,8,10,True,True,True
82,8,6,6,6,8,9,8,9,5,4,5,8,7,10,8,9,True,False,True
83,4,4,4,3,5,7,7,6,6,4,6,5,8,9,8,8,True,False,True
84,7,10,9,9,6,6,6,6,7,10,9,8,8,13,7,9,True,False,True
85,9,5,7,9,8,8,8,6,7,9,8,7,10,12,10,11,True,False,True
86,6,10,6,4,11,7,10,11,5,8,7,9,9,10,11,11,True,False,True
87,4,4,4,2,12,11,10,12,5,5,5,7,11,12,10,10,True,False,True
88,9,7,6,7,12,12,10,12,7,7,8,8,8,11,11,10,True,False,True
89,7,5,7,8,11,9,11,11,7,5,6,6,6,11,8,10,True,False,True
90,4,4,4,3,2,10,6,3,9,11,10,8,11,10,11,11,True,False,True
91,3,1,4,3,5,3,3,4,1,3,3,5,4,6,3,3,False,True,True
92,7,4,4,3,3,3,4,3,4,7,6,5,6,8,9,8,False,True,True
93,2,3,1,2,6,4,8,10,1,2,3,3,4,9,5,5,False,True,True
94,6,5,7,6,8,6,6,8,7,9,7,7,9,9,10,10,False,True,True
95,6,6,4,6,10,10,9,6,8,8,8,10,5,10,12,9,False,True,True
96,5,6,7,3,11,6,9,10,5,8,5,4,6,7,6,4,False,True,True
97,5,4,2,6,8,5,6,3,3,7,3,8,6,10,7,6,False,True,True
98,5,2,2,3,10,7,10,7,2,3,2,3,11,11,8,12,False,True,True
99,5,6,5,5,11,9,11,11,5,5,6,6,7,10,10,8,False,True,True
100,8,8,6,7,8,10,9,9,4,7,6,7,6,7,6,6,False,True,True
101,7,5,6,2,6,8,11,4,4,6,5,9,10,12,9,9,False,True,True
102,6,7,4,7,12,10,11,10,7,8,6,7,11,13,13,12,False,True,True
103,2,3,1,1,5,4,6,4,1,3,4,4,6,12,9,8,False,True,True
104,7,8,7,7,10,12,10,13,6,7,6,8,10,12,11,10,False,True,True
105,10,5,9,6,11,11,12,11,10,9,5,5,10,11,8,7,False,True,True
106,5,4,4,5,4,5,4,4,4,4,4,6,8,11,7,9,False,True,True
107,6,4,4,5,10,9,11,10,5,9,9,11,6,10,7,7,False,True,True
108,7,9,10,10,8,10,11,11,9,10,11,9,11,11,9,11,False,True,True
109,7,7,5,7,11,11,10,10,7,9,7,8,9,11,8,11,False,True,True
110,3,3,3,3,11,9,10,9,3,4,4,5,9,11,11,10,True,False,False
111,6,10,9,10,7,6,10,6,8,7,8,7,6,8,5,10,True,False,False
112,8,8,6,6,10,9,10,9,10,11,11,11,11,13,10,11,True,False,False
113,5,10,4,7,7,7,8,5,6,11,7,6,13,13,12,11,True,False,False
114,7,7,4,7,7,9,10,9,6,7,4,7,8,11,7,10,True,False,False
115,5,6,4,8,7,9,11,10,7,8,5,11,7,8,8,10,True,False,False
116,7,8,3,6,4,6,6,5,6,10,8,9,10,13,11,8,True,False,False
117,7,5,4,6,7,8,12,5,3,8,5,8,11,13,11,12,True,False,False
118,6,9,7,6,12,9,12,10,5,10,8,6,12,13,12,10,True,False,False
119,5,2,4,3,10,10,11,12,3,3,3,7,6,11,9,5,True,False,False
120,9,8,6,4,7,9,8,9,5,7,6,8,11,11,9,11,True,False,False
121,5,6,5,8,11,12,11,11,4,5,4,7,9,11,11,11,True,False,False
122,10,9,8,7,11,9,11,10,8,10,10,9,13,13,12,13,True,False,False
123,7,5,4,5,7,6,6,6,5,4,4,6,4,12,5,8,True,False,False
124,5,4,5,7,10,10,10,13,6,5,7,5,8,9,10,7,True,False,False
125,7,7,5,8,10,10,12,10,7,7,7,7,8,9,8,8,True,False,False
126,8,5,5,5,11,10,9,11,6,7,7,7,9,10,10,9,True,False,False
127,4,3,2,3,4,5,3,4,3,4,3,5,10,12,11,10,True,False,False
128,10,8,10,7,11,9,11,12,8,12,10,11,11,13,12,12,True,False,False
129,5,4,4,5,7,7,7,6,6,5,5,4,9,10,11,9,True,True,False
130,5,3,4,3,8,7,11,5,4,8,5,8,7,10,8,6,True,True,False
131,6,4,6,5,11,10,9,11,7,10,10,11,8,9,10,9,True,True,False
132,3,3,1,2,2,2,3,3,2,2,2,3,4,3,3,4,True,True,False
133,5,7,6,7,8,9,9,9,10,11,10,8,10,12,12,9,True,True,False
134,4,4,4,3,10,9,11,11,5,10,5,5,10,11,11,10,True,True,False
135,4,5,4,4,12,10,12,12,6,7,5,6,13,13,12,13,True,True,False
136,4,4,5,4,7,6,7,7,4,3,5,4,6,6,5,6,True,True,False
137,8,4,5,4,5,5,9,4,4,6,4,6,11,12,10,10,True,True,False
138,9,5,9,6,7,4,6,7,3,5,5,9,9,11,10,8,True,True,False
139,7,8,7,9,9,6,9,9,9,10,10,9,9,12,11,9,True,True,False
140,10,9,8,10,8,8,8,9,9,10,8,8,10,9,10,11,True,True,False
141,7,6,5,5,4,5,8,4,5,10,4,7,11,11,11,10,True,True,False
142,10,9,7,6,8,8,9,8,6,5,6,8,13,11,11,11,True,True,False
143,6,6,6,7,8,6,4,5,6,5,8,8,8,10,7,11,True,True,False
144,8,8,5,9,6,9,9,9,8,8,5,8,8,11,9,11,True,True,False
145,5,5,5,8,8,9,7,9,3,7,8,5,8,9,5,4,True,True,False
146,6,11,4,8,8,8,10,7,8,7,7,8,8,8,9,9,True,True,False
147,3,3,4,5,4,4,4,3,5,8,4,6,6,10,5,6,True,True,False
148,8,4,5,5,8,9,10,7,8,11,9,10,11,12,12,11,False,False,True
149,8,9,9,10,8,6,8,5,9,10,11,8,4,8,7,8,False,False,True
150,7,6,6,6,8,7,8,8,8,5,6,6,11,12,11,11,False,False,True
151,5,5,4,4,8,4,7,4,4,5,4,6,9,12,12,11,False,False,True
152,9,8,4,8,9,5,8,7,6,8,8,8,7,9,8,7,False,False,True
153,7,7,5,4,5,7,6,6,4,6,5,7,11,13,11,9,False,False,True
154,7,6,8,7,9,11,11,8,7,8,11,9,9,9,8,11,False,False,True
155,5,4,7,5,5,5,4,5,4,5,5,5,6,6,5,6,False,False,True
156,4,3,6,3,5,6,7,5,3,4,3,4,8,13,11,11,False,False,True
157,3,2,3,4,5,3,5,4,6,5,5,6,7,9,8,6,False,False,True
158,6,6,6,6,10,9,9,8,8,8,9,8,8,10,9,8,False,False,True
159,7,5,6,4,6,6,9,6,6,5,7,7,6,9,5,7,False,False,True
160,9,11,11,10,2,5,5,3,7,9,8,7,6,11,9,7,False,False,True
161,6,7,6,8,3,4,5,6,6,7,6,8,9,8,9,11,False,False,True
162,4,4,6,5,7,5,8,6,5,5,4,6,9,11,8,8,False,False,True
163,9,11,11,11,10,8,8,7,11,8,10,9,10,11,11,11,False,False,True
164,5,5,5,7,6,9,6,4,5,5,8,5,8,11,7,7,False,False,True
165,8,8,6,6,2,5,4,2,7,6,7,7,9,9,11,6,False,False,True
166,10,9,6,10,6,7,8,8,7,9,8,7,11,12,11,8,False,False,True
167,5,4,6,5,10,6,10,6,4,8,4,6,11,12,11,10,True,True,True
168,9,11,6,9,4,9,7,5,9,11,10,8,13,13,13,12,True,True,True
169,3,5,3,4,13,10,12,11,6,5,4,6,10,12,8,11,True,True,True
170,5,5,6,5,8,11,11,9,5,6,5,6,8,9,8,8,True,True,True
171,9,7,7,8,6,5,9,5,5,9,7,6,7,10,9,7,True,True,True
172,4,7,4,5,12,11,11,13,10,9,5,9,8,10,13,11,True,True,True
173,8,6,7,5,11,12,11,12,8,10,8,8,13,13,11,12,True,True,True
174,5,5,5,4,3,8,5,5,5,5,4,5,11,13,11,12,True,True,True
175,9,7,6,4,13,12,11,11,6,8,9,8,11,12,11,11,True,True,True
176,7,7,6,3,5,5,6,5,6,6,6,6,5,4,5,4,True,True,True
177,9,10,7,8,6,7,7,8,7,9,7,8,10,13,9,11,True,True,True
178,10,8,9,10,12,10,12,10,9,9,11,10,13,13,12,11,True,True,True
179,6,5,4,6,8,7,7,7,4,9,6,6,12,13,13,11,True,True,True
180,11,10,10,11,4,8,8,3,8,8,11,8,10,9,11,9,True,True,True
181,9,8,8,7,11,11,10,11,7,9,7,10,8,10,9,10,True,True,True
182,5,5,10,7,8,7,11,7,6,9,6,9,10,10,10,10,True,True,True
183,4,4,3,2,10,5,9,6,6,7,4,7,12,12,11,11,True,True,True
184,5,5,7,5,13,11,12,12,6,3,6,9,6,9,9,8,True,True,True
185,8,5,7,7,9,11,10,11,5,9,7,8,12,12,11,10,True,False,True
186,7,6,5,6,9,9,8,6,6,7,5,8,10,12,9,9,True,False,True
187,7,11,9,11,7,7,11,10,7,6,8,8,9,12,11,10,True,False,True
188,7,6,8,5,8,7,8,9,6,9,7,8,13,13,13,10,True,False,True
189,5,9,6,8,5,4,4,4,6,7,8,9,8,11,10,8,True,False,True
