,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,feedback,human,highacc
67,9,9,6,8,6,9,10,6,8,12,6,9,6,8,10,8,False,False,True
68,10,11,9,9,12,12,7,11,12,13,7,11,11,12,8,7,False,False,True
69,8,12,9,12,7,13,12,8,7,13,9,10,8,12,5,10,False,False,True
70,4,5,4,11,10,7,7,13,10,5,8,12,7,6,8,11,False,False,True
71,6,5,10,10,5,8,13,7,5,5,12,8,3,5,13,6,False,False,True
72,8,8,11,11,9,10,13,12,5,7,13,10,9,10,13,11,True,True,True
73,11,6,11,8,10,9,10,8,9,9,10,4,11,7,8,4,True,True,True
74,9,6,9,11,11,7,11,13,4,9,7,13,10,9,11,12,True,True,True
75,6,10,10,12,4,8,12,12,8,8,10,9,6,8,11,10,True,True,True
76,8,9,4,8,10,13,9,8,11,12,7,4,6,13,6,8,True,True,True
77,10,8,7,8,12,10,9,6,11,6,8,6,9,4,5,7,True,True,True
78,12,6,8,8,11,7,10,9,10,7,5,11,10,6,7,10,True,True,True
79,10,10,12,2,9,8,10,4,8,4,10,5,9,7,10,5,True,True,True
80,6,5,7,8,11,3,9,6,9,4,5,5,7,5,7,9,True,True,True
81,10,12,7,6,8,9,5,6,11,9,5,8,9,12,6,10,True,True,True
82,8,7,7,12,6,3,5,10,6,6,5,9,5,7,7,8,True,False,True
83,9,5,10,3,10,5,9,5,5,2,6,8,8,6,3,7,True,False,True
84,10,11,7,7,6,11,6,12,11,8,8,13,7,12,7,12,True,False,True
85,8,13,7,7,6,9,9,5,8,11,6,10,10,13,7,9,True,False,True
86,10,8,9,12,9,7,5,12,5,6,5,10,6,9,9,12,True,False,True
87,12,12,7,4,10,12,4,6,13,13,9,5,11,10,8,5,True,False,True
88,10,8,7,11,10,7,4,13,12,7,5,10,12,10,9,13,True,False,True
89,10,6,6,6,13,6,9,6,10,7,12,8,9,11,10,7,True,False,True
90,13,12,9,8,13,11,6,8,10,9,5,5,12,10,7,7,True,False,True
91,7,4,6,6,7,3,3,6,5,5,5,1,5,3,5,10,False,True,True
92,5,12,10,5,8,9,9,8,9,11,5,6,10,11,7,5,False,True,True
93,4,8,5,10,6,8,5,8,8,9,7,10,5,11,5,9,False,True,True
94,8,11,5,8,9,13,5,5,8,9,9,11,9,9,8,8,False,True,True
95,12,9,8,6,10,8,9,10,8,8,7,4,11,10,8,3,False,True,True
96,2,8,6,9,5,5,9,11,7,6,7,6,6,7,9,7,False,True,True
97,6,6,12,6,10,7,7,10,5,8,9,6,6,5,7,8,False,True,True
98,8,9,6,6,10,12,6,10,12,10,4,6,8,12,4,7,False,True,True
99,4,9,4,10,6,12,8,9,6,10,8,13,5,12,3,10,False,True,True
100,11,7,6,5,8,4,8,10,7,9,6,10,6,11,8,7,False,True,True
101,7,7,10,8,6,9,9,7,8,8,12,8,6,8,11,6,False,True,True
102,13,12,8,9,13,10,7,8,13,11,10,8,12,10,10,11,False,True,True
103,7,12,6,6,6,10,9,7,6,8,6,4,5,8,6,7,False,True,True
104,6,4,12,13,7,3,12,11,5,7,11,10,10,5,9,10,False,True,True
105,11,5,12,10,8,6,11,6,9,3,9,5,9,6,10,8,False,True,True
106,6,3,6,11,7,7,5,10,5,5,8,12,4,5,8,11,False,True,True
107,10,9,10,11,9,8,10,9,11,12,12,6,5,8,9,10,False,True,True
108,13,11,7,10,12,9,10,9,12,7,9,11,13,11,12,7,False,True,True
109,12,6,7,13,11,7,4,11,11,8,5,12,12,11,10,13,False,True,True
110,10,4,8,6,11,7,9,7,13,8,10,3,10,7,10,6,True,False,False
111,9,9,5,8,11,12,9,7,6,9,8,5,9,8,7,10,True,False,False
112,12,11,8,9,13,7,8,11,12,8,8,6,13,11,6,12,True,False,False
113,7,6,9,13,11,6,12,13,10,8,6,9,7,9,9,12,True,False,False
114,7,9,10,12,9,9,7,10,9,11,8,10,8,12,5,11,True,False,False
115,10,7,10,5,8,8,10,7,10,6,13,4,7,7,10,6,True,False,False
116,9,11,10,7,5,13,13,8,11,10,12,8,9,4,12,5,True,False,False
117,13,8,6,7,13,8,6,4,11,8,9,7,10,6,7,7,True,False,False
118,8,10,9,12,3,10,10,12,10,11,10,12,6,9,6,12,True,False,False
119,9,7,11,3,12,7,11,4,9,6,10,3,9,6,11,7,True,False,False
