,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,-3.320119509329144,-3.029963088398267,-2.7433597235457774,-2.2312661875270146,-2.6897041039019585,-2.510430540938484,-2.1281251619093475,-1.9489545792373213,-2.077067772286671,-2.821148817132456,-3.3924856892359454,-1.8884543032000194,-1.8097202442856077,-1.872237511518716,-1.8380986252931888
1,-2.9197799510190334,-2.5281480740623152,-2.6966052646175354,-2.324133919991253,-2.7418373772743045,-1.9124161685886714,-2.259407209062127,-2.2748788213597506,-2.137634384794652,-2.161383117535395,-1.8335991583675753,-1.7527205395643395,-1.6962098039438191,-1.8951191924723119,-1.7581874842361436
2,-2.8756135176833117,-2.680739310654041,-2.768502549127803,-2.373700082515873,-2.327011499497823,-1.9886450083075418,-1.6361602530475818,-1.8589997529207953,-1.8600749027831092,-3.8121471647135796,-1.6255965572867301,-1.9430636908165055,-1.786909961479663,-2.4767117509715892,-2.694304624716
3,-2.4279065061191325,-2.3760552969534663,-2.147513488954739,-2.5020373524797823,-2.924154870493952,-1.9058272183827496,-1.768280453133192,-1.9452108307180653,-2.00810717179669,-1.6370162847977887,-1.6049324145378192,-1.9631343570492767,-1.6189308144531716,-1.613785075331001,-1.7105895228640333
4,-2.910830896108635,-2.789312950956604,-2.3835394371686602,-2.1098851954958135,-2.146058554993799,-2.1806802329166315,-1.9069761604845354,-1.5175882221716301,-2.4548441322706718,-1.8471414029825717,-1.794036667178719,-1.330078071286201,-1.7916611451030438,-1.8117988940758862,-1.606997145506711
5,-3.298353978892835,-2.391104980847435,-2.5876183254966794,-2.483420795303216,-2.1104748615178575,-2.1648922568475997,-2.4452086260316777,-2.4050621526749345,-2.001551020335996,-1.8142790363783208,-2.2833679104001887,-1.7346027529210877,-2.8104502224824217,-1.7232973330744161,-2.0175495365525444
6,-2.8094501279050452,-2.773783334346796,-2.7558545709666666,-2.5863624275040555,-2.11997868151782,-1.8765681113064292,-3.2243068926980736,-1.9829134889137117,-3.2934619131051193,-1.8668419953929198,-2.7223245637135487,-2.284280081005254,-2.2664387258121623,-4.246707959331809,-2.1523686975453624
7,-3.327558305898958,-2.712517850350293,-2.6238494344183825,-2.196211073715004,-2.3296524743863944,-2.11513248758837,-1.9601586542129614,-1.7488024247991032,-1.7366287010886143,-1.7517925905502396,-1.7117207224672106,-2.6453603424936114,-1.8124065007613077,-1.634405768026863,-1.5985911470919618
8,-2.626537231421212,-2.476247083855346,-3.1684413531142366,-2.4865565740469746,-2.030412705406636,-2.309636873794843,-1.9972902865352524,-1.9321048514444723,-2.610682601119806,-2.299277387900524,-1.962880000357525,-1.7235895532641374,-2.9232490331303613,-1.6668613107831416,-2.0222667491621813
9,-2.5437498399417855,-2.155620194906306,-1.7310278751843242,-1.8894888003479493,-3.2569315650445883,-2.931238448590158,-2.1038658663170438,-2.239222691049458,-2.9661145395857162,-3.166831132548464,-2.430196216316334,-2.9167698183150446,-2.706538347247332,-2.522199838828586,-2.007475249439476
10,-2.7621171625231558,-2.572452829453541,-2.2877203060323588,-2.0572327853702443,-1.899397736521367,-1.9790254639550906,-1.850590599394424,-1.7434091812055477,-1.7415006895664973,-1.66966355812841,-1.7725997542820866,-1.6069982092926112,-2.351035161840484,-1.5697207949431045,-2.1510366681036848
11,-2.920838860101525,-2.4368994455440163,-2.0400822570130774,-2.255255682042926,-1.8333237024707394,-2.0063806712916774,-2.998205038276795,-3.3224660653011657,-1.6956093387569422,-1.7035379247530829,-1.7909497756955695,-1.6543230350718163,-1.7330474314331068,-2.312531995476215,-2.19034495387098
12,-3.192868021958434,-2.522567523835353,-2.5851061082401827,-2.50085506598882,-2.482039560117142,-2.6595010833831463,-2.905383024239596,-2.1615215710606743,-2.0884677476299376,-2.747722755560967,-2.04702823045483,-1.8230170258604732,-1.959507543554753,-1.8624001422624497,-2.3301559171272386
13,-3.6778431147461306,-3.014629625528977,-2.644467470097252,-2.252608504652979,-2.1750608369817095,-2.104380528031377,-2.2109720883831585,-4.30873823727086,-2.5086421668603593,-2.1551981028867417,-1.989956037808372,-2.0153735365847694,-1.960083655433145,-1.9075460314650572,-2.5297290955726903
14,-3.0162223576163143,-2.678403991421867,-2.5165860780164535,-2.54692711001286,-2.22309961446554,-2.1879827995134824,-2.0859216451799987,-1.993083996561487,-1.7741654976975534,-2.6193479814928486,-1.6853314368087913,-3.5085676771973904,-1.8204976054048196,-2.201920150488315,-1.5087854176376283
15,-2.8848755890885207,-2.620184180815423,-2.491648823858276,-2.0614175812687883,-2.0114955650584547,-1.8853644812021229,-1.7586879502417059,-1.6996154224579574,-1.7965013535305643,-1.7199515674650945,-1.7618843635324826,-1.503025424554819,-1.5503065518228882,-1.6183002005156646,-1.5531228170391342
16,-2.552034751213864,-2.463496426176781,-2.8961013965362326,-3.232514691311288,-2.492589853259528,-2.44072996401875,-2.244099576433505,-1.994461598514016,-1.8769932389183746,-2.154659632036186,-2.1109665380151545,-1.9597368584784083,-2.189170399545378,-2.8140516639637303,-1.651530800967505
17,-3.2037989118783488,-2.7492490301866956,-2.7886648567409207,-2.1154411234691084,-2.1690052324358913,-2.1088628337791047,-2.5533556732393046,-2.255655286989929,-1.8829079118343544,-1.7645138717315272,-2.542944316095684,-1.6966343832487532,-1.9266380772033942,-1.9774561725126416,-2.1863964136197187
18,-2.8361000769131386,-2.462818108202037,-2.6316161409163725,-2.330065356971192,-2.2877313671106574,-1.9030500736022717,-1.889890621779188,-1.7569529033869555,-1.6929013429273578,-1.9097449648047484,-1.7911327187965362,-1.553652683832303,-1.631300969008494,-1.5672182925152842,-1.84928523873467
19,-3.2018321333937454,-2.0236919398873465,-2.765034008705684,-3.03946455685923,-2.477106586297739,-1.9604126873830958,-2.339214723841302,-1.878223185606203,-1.8846434923388364,-1.9043525560598988,-1.8792609997450094,-1.7195015111424934,-2.221722989703405,-1.7459072544715737,-1.6763738132477588
20,-2.709512297621373,-2.268184655937146,-2.4801921988254403,-2.3218172167375397,-2.4579941544852946,-3.272339400931369,-2.025915951050492,-2.0639436501768356,-3.3491275460808567,-1.9200966004084097,-2.2533499611735164,-1.9475899048282979,-1.8234982401941142,-3.081112068328352,-1.9718169591712982
21,-3.1614046032172456,-2.751918085077681,-2.5060581985412362,-2.518061629830143,-2.2541672481547774,-2.0752690692831783,-2.0056060343812923,-1.8089665327132203,-2.176090455742493,-2.2709422085366677,-2.3773671402184475,-2.0118737965717113,-1.8610859123032166,-1.8265659025423946,-2.1960785280251307
22,-3.0553375411995938,-2.441732404923634,-2.346041715678049,-2.1027438267325604,-2.030314417101693,-2.107589046722402,-1.743077391686459,-1.8167008595719207,-1.7686850056061942,-1.7535232320462697,-1.636289382967797,-1.8463076031954317,-1.9310281641414282,-1.558175008939051,-1.5491342347528934
23,-2.8438710729590913,-2.306128979060827,-2.2466571729798943,-2.323252596897961,-2.098484999545531,-1.649284738764166,-1.8285427607365856,-1.758309912736509,-1.8904429270876877,-1.5884015550319146,-1.6268041065595091,-1.6177169960480733,-1.9061500487279486,-1.477254829429643,-1.8460913675433546
24,-2.937172514124826,-2.5965859279029266,-2.256340471715807,-2.3735447465891615,-2.166392987023751,-2.1526281923483452,-1.9237391067802065,-1.844956456652494,-1.831886216983555,-1.8850499990763467,-1.517842204414003,-2.348724234614152,-1.6945396044459538,-1.8321573143832337,-1.1830639759493111
25,-2.4854206867937214,-2.769995026539446,-2.1986710632986237,-2.342332930718639,-1.9233470646537318,-1.9492430340399634,-1.812036897371766,-2.0737373881613217,-1.7124825072785055,-1.8016106895682384,-1.5317214790981142,-1.910386282268161,-1.5801967415062743,-1.725572875061764,-1.5954096670836981
26,-2.626563217676612,-2.192509749864427,-1.7327687639128755,-2.029271976292469,-1.8893825784086706,-1.7493098825331008,-1.808635147014364,-1.7924222334057835,-1.5208703249701103,-1.985124989499194,-2.3948999559660247,-1.8602512428521734,-1.6152776678562504,-2.408421746565879,-1.7349768131296601
27,-2.5872938698663983,-3.2595005608751997,-2.9010545427862375,-2.5291054340512327,-2.0026132676378756,-2.176775763949056,-2.268750951233098,-1.7562567152737456,-1.7508710347561294,-2.454052999209293,-2.1716263082661054,-1.6119331373562686,-1.7566746091026444,-1.8538808012586059,-1.8766793439689675
28,-3.3098155792798627,-2.1389354636477433,-2.0002341601505917,-1.8728714470815369,-1.8489794295961683,-2.4026444464778858,-2.028830961229534,-1.5745188605060136,-2.158126602067294,-2.120518752026603,-1.7528814333162783,-1.5144850682581783,-2.075870105896448,-1.5957017294641378,-2.304802539436603
29,-3.375870028637141,-2.482355653763606,-2.8106337979896905,-2.007777425748298,-2.4858751830833237,-2.224735377172647,-2.093258559750469,-2.1900878430267587,-2.2702700383492065,-1.680987032321173,-1.8265987403693542,-1.7333360843870547,-1.9930312936444048,-1.6569120158846247,-1.613853769954243
30,-2.967760584347718,-2.3520366275934297,-2.6295024233962785,-2.520698143351923,-2.2121961936537446,-3.2588270235298697,-2.7546923721391794,-2.3109125258520526,-2.04105322190169,-2.105287405304996,-2.37494318523093,-2.100922008063735,-2.4555543518535834,-1.925302407527779,-2.3558577947733275
31,-2.7696912221824506,-3.064251194585455,-3.0344342418045716,-2.5741529220570913,-2.119386957648489,-2.6362180948930676,-2.223276525756725,-2.4025115806512547,-2.2305269233188882,-2.1682070498941215,-2.0410844884717916,-1.9923841526893686,-1.6662850046900168,-2.07947474064449,-1.9537340451381646
32,-2.8094501279050452,-2.5410541236319775,-2.5520020442022844,-2.1283241395173875,-2.0394564549274388,-1.9116199912175305,-1.9084193026609286,-1.786976409855128,-1.9917089168876156,-1.8317667650175034,-1.7786647238502984,-1.641353773751195,-1.7117127331142932,-1.5349901590138577,-1.5666833826288438
33,-3.4184726540657997,-3.0311119092187067,-2.8285691179202157,-2.778978986359006,-2.569453414295152,-2.5280794149463657,-2.326090621631849,-2.03521604225528,-1.9085956086171754,-1.9815683057766067,-2.516058222237638,-1.8565156651192134,-1.9935216933024724,-1.7957511783218159,-1.8199431543610898
34,-3.066251025143422,-2.246284286612417,-2.8064959030388894,-2.6265476016344316,-2.1071080779777325,-2.4156107297748446,-2.097616830368055,-2.0909860539775615,-2.3889282844426605,-2.409389280134963,-2.063035517306203,-1.808165628839318,-1.8478378932991188,-1.9841126524037695,-1.8095264625646734
35,-2.6761801772137863,-2.8408314326647277,-2.583900972756971,-2.103319627618376,-2.2092277225126193,-2.010799459245049,-1.909731177227057,-1.793715299448856,-2.257743138108591,-1.5940256909827848,-1.718224877011923,-1.6574307063449014,-1.8889677374236573,-1.5996640973761203,-1.7473962161980499
36,-2.781278394535126,-2.5345979159264473,-2.5188088668802577,-2.134921041336152,-2.035787484059085,-2.1734487467466406,-2.207821504583262,-3.8274073504195933,-2.6807769113063533,-1.985183560049578,-1.9315763645511383,-2.011360387980492,-2.2743559482532723,-1.8156494698132213,-1.7750153881816793
37,-2.8701298404261455,-2.375537023173871,-3.11400830300124,-2.523504355463076,-2.283083010431656,-1.9638972382090318,-2.1088892259048957,-1.7277417145700071,-2.279946509489351,-3.745454900272711,-1.9143726123912492,-1.8080373182588443,-2.002547942092044,-1.7417177951257847,-2.0490213938091055
38,-2.793107738701427,-2.864993651250963,-2.866427227113545,-2.3724644137174145,-2.2467456604940734,-2.826376645737884,-2.124584489309865,-1.9136827752983427,-1.8793780847679862,-1.8666595206394179,-1.9350846938894297,-1.9010867929662796,-1.8052813869815845,-1.6869096545910878,-1.5965754125449705
39,-3.091865348683175,-2.6756356222868454,-2.4506640835838875,-2.2558689933718354,-2.4334225950525092,-3.0798885959722093,-1.9112701565378105,-2.6991083236983187,-1.9915962528482958,-2.4785373880273087,-1.7721303529290715,-1.7179262850242427,-2.010892334480319,-2.4530689651849773,-1.591630789566975
40,-2.7351964044288817,-2.706901508034671,-3.1382472933528227,-2.657341989512263,-2.340870747255258,-2.0242364612923534,-2.4776542940671025,-2.1375063628830926,-1.9760087296935573,-1.5725743440619218,-1.846663286667924,-2.0741258125650415,-3.4835855204855344,-1.5195701966988997,-1.726122563559289
41,-2.8361000769131386,-2.5878459155069886,-2.531583232036297,-2.6176446407672977,-2.179573720096821,-1.9655422351212655,-2.0056830698160977,-2.01420017689155,-2.309909056977563,-2.221376109312718,-2.358500860996175,-1.6695799195947874,-1.638893741011412,-1.6549371615512831,-2.274830928508589
42,-2.7356092227114623,-2.326155853153313,-2.654037339314461,-2.2012055202940606,-2.08654519901749,-2.059381737984145,-2.132413513772114,-2.144711199904804,-1.7460307182805028,-1.8504982907250682,-1.7441777198367845,-1.6561707185072472,-1.640134896910333,-1.598148227279418,-4.077929207534338
