,0,1,2,3
0,-1.3872803550325832,-1.5187616474040593,-1.4259471426892192,-1.4114743579352567
1,-1.402925604187354,-1.415509864436824,-1.4318193750802097,-1.5319123408099982
2,-1.4382956872690662,-1.5537193468955357,-2.9478850514409562,-1.6096852433554296
3,-1.733770510321955,-1.4147685002615584,-2.1166847153462127,-1.5623023190118943
4,-1.4207224844035662,-1.4136108427995526,-1.426977754724856,-1.4281874067558378
5,-1.415333283273532,-2.6994591049110324,-1.5148998742941764,-1.4834550524075019
6,-1.599191076987654,-1.6568012760487785,-4.321504607600791,-1.6185480481637171
7,-1.8706829467038546,-1.4011657490250093,-1.4099280168431678,-1.4331110177266715
8,-1.6223948825648853,-2.137649605977888,-1.4093302326131059,-2.020185871605933
9,-1.541266551888539,-1.5214171278993551,-1.7312822074811292,-1.4450300765281
10,-1.4415318556759427,-2.689421880720564,-1.4139898067070285,-1.9608140654176962
11,-1.5822959981580376,-1.6154463487878108,-2.007554451219916,-1.6446031702538082
12,-1.4826646307888662,-1.5208977691938106,-1.3996829138200682,-2.839225226862096
13,-1.5876383186235872,-1.548478255652668,-1.408306898604835,-2.2377985845210606
14,-3.441453711978273,-1.4052540143134904,-1.8974786489694735,-1.3695802346634502
15,-1.404919830384322,-1.4132121059187397,-1.5102579041652602,-1.4185362897351392
16,-1.6801882132666217,-1.6312858310163958,-3.1230695165391156,-1.3734112317820457
17,-1.3682343769873888,-1.4398425980337064,-1.5738869941667235,-1.5611826805528988
18,-1.365484055900112,-1.431986500961468,-1.4379765803398936,-1.7508801317623104
19,-1.5073655587211168,-1.7834812939898166,-1.4593657668654645,-1.489197438764178
20,-1.3929670740967715,-1.6858256059094148,-2.2203145525107955,-1.418434385902631
21,-1.7780811990162453,-1.7111007975171768,-1.7899733642213373,-1.67514470821932
22,-1.650832174198723,-1.609547852552207,-1.5046222138346363,-1.418560102189518
23,-1.5469664815980546,-1.5405268019930025,-1.3930869530914034,-1.3878526700936724
24,-2.4067978675703685,-1.3984698310950567,-1.5924784871488291,-1.2868826090720227
25,-1.3986668959567927,-1.4206404173457587,-1.74301817907493,-1.414204828507509
26,-1.8167566413406457,-1.3894603257864628,-1.5600372682629093,-1.3606911974300415
27,-1.4077983453556182,-1.4006679604562589,-1.403883992929576,-1.5270653854109526
28,-1.3746917860660997,-1.9248549412430274,-1.6297569680954656,-1.67985609796859
29,-1.397794966674502,-1.5887250117256422,-1.3970831623127038,-1.5092022703958072
30,-2.0226947333795686,-1.6558919719387402,-1.4023736066048296,-1.781043511818606
31,-2.0001797738711895,-1.3960615561295948,-1.9148342512047543,-1.5599897074606368
32,-1.4112844170397927,-1.522251372888138,-1.4290408410833302,-1.391368991584611
33,-1.5360248436016408,-1.8145710579417529,-1.372087460058636,-1.3932265113287143
34,-1.4350523558161175,-1.5169918999595304,-1.432735832047841,-1.586087952880982
35,-1.4081846165197416,-1.5214553829957609,-1.485643471783572,-2.119480133804402
36,-1.8036935613257563,-1.5802286699256156,-1.4541083560311012,-1.3704045458121694
37,-1.8318397777139037,-1.7004973375572754,-1.4249519690380188,-1.8238349672592133
