,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,-1.9153194284895791,-3.128643881764888,-2.369729475234859,-1.35442894159288,-2.9763308445785963,-2.26831764406538,-3.203940693452945,-1.537493917401693,-2.7462342288414137,-5.106910522859085,-9.09967803560461,-1.3595249288437663,-1.4917598618643166,-2.4322533932291264,-4.585574264508355
1,-3.7180837417944064,-1.5770495286016322,-4.00823835501191,-1.3667721393743801,-2.249722721183282,-1.370867359129041,-6.658722923566501,-1.3758174899927125,-1.6471248122099218,-1.3705014554211867,-3.933744685534395,-1.36896470413501,-3.358319811131148,-1.359626329473426,-3.535486694240976
2,-1.4172061740523245,-4.955306236824549,-1.575617932892832,-2.2349010934737747,-2.323618153113321,-7.165250108671749,-1.545246997559456,-1.5177615488230052,-2.023782378148359,-1.4979165935659706,-1.5805629710104467,-3.227911577063292,-1.9415311740876409,-12.566095795956487,-1.6009602695422094
3,-1.3609345489367632,-2.2677120827583397,-3.4158058837251497,-1.4895027224177104,-5.020327610616382,-4.084460356395493,-4.558018472198642,-1.4895824584405024,-3.4122487228878886,-3.38636489382547,-3.125085287536645,-2.0215423198062292,-2.817703121167788,-3.4772968518345047,-6.302322684932455
4,-1.5513174010191584,-2.350677679621503,-3.239510306764807,-0.8261569190640781,-1.6670085566567598,-1.3667074654529625,-2.1038129686209515,-1.1818452954772396,-1.7592038932818637,-1.85818707081136,-1.6309335470766548,-1.7739364455237285,-1.353747086545871,-1.4317435694324414,-3.406343289063442
5,-1.4735727689109313,-1.4063754278800622,-1.6278131801296778,-1.6416828649096535,-1.5732060896640514,-1.915057197203755,-4.449621979682653,-2.1184986651284876,-1.960749237182265,-1.4410393926975695,-1.4130684887953595,-1.374845097745112,-1.527963266483705,-1.3783269239085463,-1.9066125119956636
6,-2.612185311928516,-4.429290312809339,-2.0124377617085454,-1.8789214868931488,-1.8672396535542843,-2.547387594539943,-4.909384881289272,-1.729184362969707,-6.91727762520021,-1.972784676280251,-2.823457460365026,-5.57458458899413,-1.3593357803690265,-2.7183534777997203,-2.701635451418153
7,-1.4921395613178616,-2.575152165326791,-1.9588384379426038,-1.7778103188557426,-2.4630501853342404,-1.5701188098512864,-2.403608029873593,-1.8001070279497762,-2.6953536566582974,-1.5253248058838607,-2.708925244844179,-4.932041630844079,-1.8377692348606847,-1.552730404510879,-2.4482136210600403
8,-1.386431726318394,-1.463480408137727,-2.602924611831265,-1.491792826106176,-1.5526965710531864,-1.55632916391938,-1.8763548118692357,-3.1065683183271156,-2.3849878569232996,-2.730165415707394,-1.4142956888390914,-1.4458290900380646,-2.055762836094581,-1.743882594018312,-1.7084783547340465
9,-10.184113389781022,-2.065033705873421,-0.9042945036209269,-3.1446051720149235,-8.842762429312906,-5.246393078496238,-1.3589449586702358,-1.36169471043196,-8.789464380167146,-2.131529565845514,-1.425607228161476,-1.5600072033710084,-2.169180571408905,-2.2780320646198193,-1.761144896807023
