,0,1,2,3
0,-1.7617954800181577,-1.4435849093974669,-1.469108538645862,-1.4099708084802771
1,-2.239270337545269,-1.6063942990906128,-3.532637640657437,-1.412231608158567
2,-1.974995541504503,-2.3953194751511484,-2.332040257987942,-1.3844845180769592
3,-1.4240693941691338,-1.4289043367475978,-1.6268878518636032,-1.5917120134903948
4,-1.5938747316194455,-1.5181670033108217,-1.38586129752881,-1.3872979881516627
5,-1.5560443093771985,-1.4431566044863544,-1.6756540844072116,-1.3973026355980827
6,-1.4558316515710774,-1.7678468850299924,-1.929343273721522,-7.0668860332521435
7,-2.491041179564894,-1.4273670797301758,-2.08089430564602,-1.3986444986442592
8,-2.1870198684592874,-1.4882887992022098,-1.46750628612627,-1.689959302929657
9,-1.5235945140341818,-1.6139186354517352,-1.3893382507805272,-2.2877144387424537
10,-0.8201650601920395,-1.0499962565959542,-1.0461015718309463,-0.9617343909516796
11,-1.4337032334504287,-1.5497088564824175,-1.4200237973932741,-1.4046424756924853
12,-1.4159755668501015,-1.437233778795827,-1.4135996528932888,-2.0205046639689828
13,-1.7734081891151174,-1.44385452458668,-1.4181870541661272,-1.3992820216747917
14,-1.4140802964027137,-1.454033753793089,-1.4071683702985667,-1.4593118270962753
15,-1.5329291834669339,-1.4288590553970664,-1.5368673433107942,-2.008715454825857
16,-1.4182265328608263,-2.464564683127025,-1.4061519140990537,-1.895750327449121
17,-2.394499859973864,-1.727529610109144,-1.5991725725226282,-1.4231776976260508
18,-1.5400422451535793,-1.5510114476827053,-2.459859715889813,-1.7305760489770736
19,-1.4835185492919198,-2.0050036288939546,-1.6550366571081998,-1.5945023142618473
20,-1.4090563016554356,-1.4316298123804774,-1.4496372483089723,-2.0115822234922316
21,-1.4452365847185655,-1.5764477186263617,-1.4007161951321478,-2.123013571734736
22,-1.3752449094810864,-1.6829204102370632,-1.7915555039097533,-2.5363226154318697
23,-1.587160484782798,-1.7629296773076908,-1.4131947069963933,-1.4665572305061685
24,-1.3777579987644841,-1.0351616685526661,-1.4504841681431726,-1.6375439613439629
25,-1.400408686624665,-1.4175794232169037,-2.2986062898370454,-1.3756014207389722
26,-1.5100699174291676,-1.4318394185261254,-1.6745616521794469,-1.657762711137765
27,-1.6099689383714448,-1.4069395632972455,-1.7096796058050445,-1.3870286820370288
28,-1.5232367706637087,-1.4235127491698467,-1.4117144861510122,-1.565324755722921
29,-1.6380197266252339,-1.917754135371834,-1.422224836110893,-1.6389611781079845
30,-2.3716154723132674,-1.5514846584357018,-1.8220298110767867,-1.449363854056388
31,-1.4192633597728126,-2.7052771465985987,-1.872107258253449,-1.8250914087579848
32,-1.947563252182608,-1.7193656285730865,-2.1767970439619266,-1.858133443198066
33,-1.8140550336949208,-1.5339904999967828,-2.081336853539929,-1.8044217324476932
34,-1.4452655975972253,-1.555050887284743,-1.5407511953455366,-1.9068881446238621
35,-1.413456916793705,-1.8108834221125745,-1.4664124357467332,-1.6712729199492922
36,-1.5690272704832249,-1.5005807040908914,-1.4263186006269908,-1.43379371697168
37,-1.4373240119999007,-1.45644844316625,-1.4166267832197947,-1.4699331125042456
38,-1.6579924249306854,-2.273401555608981,-1.5489134940370333,-3.385636755026132
39,-1.931872874796569,-1.8236415202012257,-1.6270682857039038,-1.859331328706478
40,-1.4806738859829538,-1.7957373402024372,-1.3998508315297418,-1.511513149332562
41,-2.1119687920340486,-1.9393829345240954,-2.212386372682209,-2.012792261412777
42,-2.1891181486617355,-1.4772506155236205,-1.4982901132131905,-2.451379423091312
43,-1.6144725026072722,-1.6602758904329549,-1.4845583450770554,-1.7175938472822447
44,-2.2655573364134307,-1.4044456748929661,-1.4159883304950014,-1.4181773700567093
45,-1.4566994004008615,-1.5555883805269421,-3.0639137519761044,-3.0768523414782645
46,-1.483799482177775,-1.901362787631239,-1.3975858351121107,-1.4487603021687958
47,-1.413995226016612,-1.6363585130170415,-2.1933434400870024,-2.051424803980146
48,-2.478652079431495,-1.577088265718171,-1.419478016162007,-1.5183386212283718
49,-1.423237548239946,-1.4122381746263444,-1.4112337719121013,-1.4284668463167947
50,-1.6264592898863584,-1.3882357607821163,-1.423683125675015,-1.4506489142282644
51,-1.3973570790490442,-1.4168393699116404,-1.5105901136065099,-1.3929765230399402
52,-1.4132758831641785,-1.4358259315316064,-1.472261867705445,-1.4274921350234169
53,-1.3810319450192945,-1.4096174820649723,-1.382115879257415,-1.4278657829057928
54,-1.4492712459076842,-1.611160863209469,-1.4516516863854907,-1.5688840592260056
55,-1.4021998458072236,-1.4869393814749543,-1.3872716647992678,-1.7008747624284415
56,-1.4776730776844471,-1.38322798153956,-1.8572060213787047,-1.6715410478038504
57,-1.5227691321062078,-1.533959897031786,-1.6052883155946087,-1.3938370911624958
58,-1.393992922310668,-1.3849479074345046,-1.4633351647336323,-1.4472218327473296
59,-1.381575008920357,-1.3922372564427352,-1.5175697705835764,-1.5326298436261239
60,-1.4027523132127637,-0.9130229161867417,-1.394393018797939,-1.4370951689452252
61,-1.416579443251778,-1.390223119107711,-1.534434936298044,-1.4426582674146087
62,-1.386773163302496,-1.5607297591787082,-1.464960891171372,-1.4015119284847117
63,-1.3971898113020933,-1.5271839646050738,-1.4422713175941149,-1.376138324658936
64,-1.4791327786995951,-1.6219799449772572,-1.3887558877971653,-1.3907634045547053
65,-1.4214182886975264,-1.4106130369389807,-1.5287483278538079,-1.4302241841829413
66,-2.1110266910956703,-1.6198531267274856,-1.6341701704369582,-2.8161759251325114
67,-1.4180374540125076,-1.3953876627601653,-1.403189433815596,-1.6492419669544014
