,0,1,2,3
0,-1.5071841114019133,-1.728657186628279,-1.4712104058992876,-1.781019736524102
1,-1.541824413576151,-1.5342634162340625,-1.4685388475333638,-1.7793683567540866
2,-1.5039147716453845,-1.4710371853789195,-2.873783490114921,-1.512068175538257
3,-1.9161094530362965,-1.511176413888801,-2.269965568181984,-1.8248955941820348
4,-1.7679455146121867,-1.6795645506781132,-1.5151432811930357,-1.5338061047035387
5,-1.474531680419765,-2.6886027640634396,-1.47162499186589,-1.4707868987270922
6,-1.4872118137541601,-1.50739927414217,-3.5264896422051164,-1.9220932604119554
7,-1.4789868983573609,-1.471317847148859,-1.5052245656026453,-1.530377083694408
8,-2.1100184809506635,-1.673497410850803,-1.5382358223202455,-1.6730560041403204
9,-1.5174775892455608,-1.8788192140274147,-1.7658235616444662,-1.465162498774607
10,-1.5706390417103593,-3.435679214894988,-1.5317392236151153,-2.0114487244111388
11,-1.8509252743696905,-1.6856811158148512,-1.9598590123139847,-2.15746705045104
12,-1.4644607797857188,-1.5939637206442965,-1.5035061146876154,-3.8197510497313325
13,-1.6659592311406586,-1.5253830400039055,-1.483879269611529,-2.1315467967609685
14,-3.0960656590127975,-1.707612939242969,-1.8010186373429982,-1.7396236275949546
15,-1.4900756912317907,-1.5641384720964875,-1.7598976893072522,-1.6852735635768081
16,-2.345681874412745,-1.5577692611231322,-3.272724580357376,-1.4988216378457482
17,-1.4828807600273635,-1.4773486476805215,-1.5428028936732423,-1.7168140321612846
18,-1.4662432727195305,-1.5011722866219408,-1.4716035328845969,-1.7169959460740856
19,-1.6992431651983302,-1.870282169812349,-1.470968922018061,-1.5464394210504357
20,-1.5738853033804248,-2.5970548399460283,-1.9741545768963507,-1.8367219934544765
21,-2.2772597544206907,-1.7990287399174316,-2.100324996741867,-1.6743346345464598
22,-1.6867943730024921,-1.6045497284623744,-1.5923017242511945,-1.4971072473238547
23,-1.489453985518766,-1.6494370630574844,-1.4609251527003795,-1.484651737327046
24,-2.3403131202429996,-1.4834119330274296,-1.463529285657587,-1.6898315466446014
25,-1.4791670034538542,-1.5307597294853452,-1.7877054772939485,-1.4645457318565909
26,-1.6386744308521612,-1.4509097164563898,-1.5976860370413375,-1.4731502465581607
27,-1.48265085293994,-1.497514154698555,-1.5171800759425706,-1.58365292194879
28,-1.4529563256912992,-1.9350688028388292,-1.634590529991454,-1.873558488317814
29,-1.4684788908012893,-1.5763555161531442,-1.4740467975483036,-1.5472329433201941
30,-2.00584159427085,-1.7285250266903767,-1.463403528789953,-1.8472274652639016
31,-2.409127694316153,-1.6089092020689588,-1.5552258794508993,-1.7598766980672638
32,-1.4966439106056737,-1.6021633764797973,-1.5317080186282628,-1.475929924490416
33,-1.9137853057169527,-2.005769089842082,-1.4705418501408143,-1.466537741932496
34,-1.4961720591246825,-1.499894173093041,-1.5400647559120026,-2.2949274907786945
35,-1.4892226259493353,-1.5026301877120625,-1.481211170635301,-2.672317302837747
36,-2.2171125085188916,-1.538136989848386,-1.7869815423979623,-1.4683755916966226
37,-2.46070395813111,-1.7544365278462188,-1.6332028527948694,-1.786505739244984
38,-3.3132939423244787,-1.5103768121834822,-1.7794395854658331,-2.205731767187279
39,-1.9914187683903781,-2.258380147170054,-2.8497973309952225,-2.314060309857542
40,-2.1133286037313046,-1.5197877355662577,-2.4977730230823196,-1.4911127588018545
41,-1.6106234722991615,-1.519112168631344,-1.4740000062286465,-1.5081322500257406
42,-1.5891727201077697,-2.2630570365057165,-1.5234854001951978,-2.5761900874248416
43,-1.6394837821541492,-1.5739990897096916,-2.7517756018044386,-1.5751821188052935
44,-3.6630821624868135,-1.4683806320992967,-1.4708168025994572,-1.4753785711170835
45,-1.5064024535684937,-2.4600065897207184,-1.639251870235694,-2.8476574642630146
46,-2.8887788067084066,-1.5678821098969942,-1.4783616716323074,-2.5633307057346193
47,-1.47316743527719,-2.318292370974751,-1.6154321804204859,-1.4681009711255686
48,-1.7637209667552343,-1.5208535263130625,-1.467466013388302,-1.5741592298046454
49,-1.4653584900136567,-1.5016123746901011,-1.4971868775438386,-1.8101506068414264
50,-1.8319498086075594,-1.728648577794244,-1.4793712543201205,-1.6072174248471294
51,-1.5519124889294402,-1.62358710217464,-1.5471814638796708,-1.7315551714106279
52,-2.4677264297070227,-1.67028010102336,-2.01653488567721,-3.6392536350270093
53,-1.6996757234267288,-1.7222621398267914,-1.5020851076723138,-1.4677928343273647
54,-2.1866183420856,-1.7086400925432137,-1.6405870616074418,-1.6165494083961665
55,-1.504586100700046,-1.650788873449244,-1.7888966066521097,-1.569425577446738
56,-1.9420193066253593,-1.9432043969979802,-2.792871823208655,-2.016544429300683
57,-1.4952863317605547,-1.7941819413189721,-1.7470264479847526,-1.481251370079444
58,-2.9974787161772682,-1.932327626485742,-1.8404674918249266,-1.7102683119707078
59,-1.6380365793044573,-1.9165813503662072,-1.4962036522738256,-1.4644260057563114
