,0,1,2,3
0,-1.446217989362723,-1.4537311786702751,-2.0028758020309874,-1.4562313447592434
1,-1.9765923350065704,-1.5730015030421287,-4.228573808000392,-1.4491536522853938
2,-1.8522102982665145,-2.288896240345802,-2.407501189852375,-1.4281159769431808
3,-1.4368614914302098,-1.531211072692607,-1.919039917407964,-1.8636849500221522
4,-1.6636251754545819,-1.62375131673349,-1.4235272635153957,-1.4279247679884401
5,-1.546116693691699,-1.5855656906464655,-2.231225797607635,-1.433664442054221
6,-1.444120776877999,-2.2203303804494823,-2.3012647830032966,-9.61542425146482
7,-3.136477566088937,-1.4293387404588531,-2.6071984492357214,-1.511251241585914
8,-2.751657995876356,-1.750022117447316,-1.6292028270992756,-2.078860458894196
9,-1.6277658123533987,-1.6094285696976616,-1.4299702267633614,-2.148611804635957
10,-0.8246220060017474,-0.9317584543432956,-0.9273615156581392,-0.9145824912143127
11,-1.4338490218711437,-1.7243254916021098,-1.446498879123757,-1.405865504611785
12,-1.5005061186802033,-1.5432874792085687,-1.455483858514978,-2.8164547786103413
13,-1.7144581796247338,-1.4986278334649688,-1.4444498530012837,-1.4586105319903389
14,-1.472847233664959,-1.4813324916552522,-1.44947005661336,-1.4278903748334633
15,-1.5852318862069739,-1.4391065587835703,-1.7099832015923417,-2.105250360425236
16,-1.4837500744465264,-2.4948374865547973,-1.4270444066116568,-1.6081974366157756
17,-2.224615699227186,-1.676368028636565,-1.6377647912073705,-1.4265106622741583
18,-1.5828898233757216,-1.5488398893022337,-2.729726131151638,-1.7471300448342033
19,-1.5907796492863688,-2.310496650007782,-1.870893030734639,-1.7336575381555845
20,-1.520004013274057,-1.4693534486545334,-1.533135346056095,-2.179787616921121
21,-1.4277189404997337,-1.583278410096616,-1.4326578665096712,-2.3383095264256952
22,-1.470890157576892,-1.5172565416311337,-1.7328309814247662,-2.5116378516004896
23,-1.7233327713201214,-1.9078075056653425,-1.4773086545749239,-1.4758680131348976
24,-1.4142834925954761,-1.1462893196816728,-1.547594748728236,-1.6620848611126189
25,-1.4343409784038557,-1.4313111881639717,-2.3740329494080767,-1.42019730304263
26,-1.862736527014158,-1.492761187583323,-1.4854761186344503,-1.7660070820884004
27,-1.6125113512196834,-1.4429425585612639,-1.6856789351546022,-1.4048472753764818
28,-1.5185526685908868,-1.456155894836549,-1.4736639301421275,-1.569410176694436
29,-1.6258397083478262,-1.937531705030912,-1.423312140497797,-1.8028523471176272
30,-1.7868546652440203,-1.6676301263245574,-2.215197505490232,-1.7501096150720903
31,-1.4393303626711982,-3.1000280284279764,-2.0716274425175083,-1.9149110861544205
32,-1.7067525556665453,-1.8081586602915298,-2.438452558063842,-1.8985213756084203
33,-1.647563210884362,-1.7348062395989283,-1.8248479258201806,-1.7208718109012167
34,-1.4314052804898476,-1.5404190643839026,-1.6648704594627075,-2.4668116135107128
35,-1.437204965253285,-1.7976313294734847,-1.5628598156531694,-2.019736033992509
36,-1.7881968201089016,-1.4968452682643096,-1.4403785347768363,-1.4278725415229847
37,-1.5339516324691336,-1.4529341621388698,-1.4605437522988287,-1.5600902314570135
38,-2.0592694564635208,-1.9685160817903622,-1.5693311929924554,-3.7215804823164
39,-1.9580702984447584,-1.743805088303003,-1.7050873560909183,-1.7907454768894113
40,-1.528358485656532,-1.878503571586264,-1.4468827306843546,-1.4751378785330167
41,-2.3845524248590184,-2.853073586312557,-2.5208386186600573,-2.6620299617312413
42,-1.9952595092686813,-1.4264499811707745,-1.4508608127138507,-2.7264355882428317
43,-1.5691336039691144,-1.5877269841639727,-1.4872992094770803,-1.6489804283395924
44,-2.488584378946215,-1.4241248206412747,-1.6022668351247074,-1.5043963769751867
45,-1.427301289082496,-1.5696665451507985,-2.9909944325643334,-2.5125261909685794
46,-1.440200383039865,-2.213724600959755,-1.4263225705839362,-1.571314041373069
47,-1.4784901421278926,-2.1132638972889843,-2.3948836799052247,-3.395124820676985
48,-2.2126837591345416,-1.7178742192892391,-1.441685041099395,-1.4549007736105897
49,-1.4179056400642998,-1.480872601322248,-1.472282092864582,-1.4857412305691018
50,-1.732770598069527,-1.4387958837343557,-1.4555917857509506,-1.433708750669114
51,-1.437402636943067,-1.4320511126041289,-1.4519194339412549,-1.441887581063169
52,-1.4567914997839864,-1.4582298117182697,-1.4799398120618423,-1.4560871043877315
53,-1.423079822354129,-1.4316038802496704,-1.4023621747885822,-1.434145852599176
54,-1.4955201437714558,-1.7118840932292858,-1.4754042162818162,-1.558659180327993
55,-1.4159087726024515,-1.5862958639350835,-1.41928836265716,-1.6249202464035655
56,-1.5532657133221288,-1.4267255115500974,-1.9632140997729262,-1.596671167087695
57,-1.566974124526657,-1.5754605182803676,-1.573946332078714,-1.4350626657813528
58,-1.426777060243636,-1.4078844478227144,-1.4531934399053745,-1.5382323136659126
59,-1.4261538727557745,-1.4252385764302997,-1.5147696422860717,-1.5532692588736454
60,-1.448152839214884,-0.9235803529126484,-1.4811054938884305,-1.4505977675354098
61,-1.4905181991465006,-1.4606525904889434,-1.4522874150582594,-1.4587162448777793
62,-1.406342244157413,-1.6082250090264374,-1.5223266527494308,-1.440120946432267
63,-1.4332874202586285,-1.5532358628365017,-1.4649357136565506,-1.408540265239996
64,-1.5084790591314987,-1.6323056400792921,-1.421786310024419,-1.4237224126065846
65,-1.4043774363014379,-1.4438277423581736,-1.4834011185391478,-1.6415488234714402
66,-1.9730359068937884,-1.6691961531778547,-1.635928044199886,-2.8267180640212164
67,-1.4588781155554253,-1.4395116012258307,-1.4124146403359048,-1.7361203917856696
